accession	input_id	mass
Q03690	Q03690	145166
Q03691	Q03691	28908
Q03702	Q03702	41000
Q03705	Q03705	20662
Q03713	Q03713	18477
Q03714	Q03714	96653
Q03723	Q03723	37891
Q03758	Q03758	104786
Q03761	Q03761	61073
Q03768	Q03768	31031
Q03769	Q03769	47321
Q03771	Q03771	42943
Q03774	Q03774	50488
Q03778	Q03778	24537
Q03784	Q03784	24863
Q03785	Q03785	52136
Q03790	Q03790	52619
Q03818	Q03818	17222
Q03825	Q03825	85050
Q03833	Q03833	99481
Q03834	Q03834	140080
Q03835	Q03835	28261
Q03855	Q03855	198595
Q03862	Q03862	65213
Q03868	Q03868	145181
Q03897	Q03897	130946
Q03898	Q03898	33186
Q03920	Q03920	24973
Q03921	Q03921	194688
Q03940	Q03940	50453
Q03941	Q03941	27340
Q03944	Q03944	67284
Q03954	Q03954	18910
Q03957	Q03957	60501
Q03973	Q03973	27544
Q04002	Q04002	171102
Q04003	Q04003	55409
Q04013	Q04013	34185
Q04048	Q04048	100229
Q04049	Q04049	71515
Q04053	Q04053	70741
Q04062	Q04062	45782
Q04067	Q04067	30501
Q04080	Q04080	60814
Q04082	Q04082	16090
Q04087	Q04087	39354
Q04089	Q04089	66201
Q04110	Q04110	34113
Q04119	Q04119	78344
Q04120	Q04120	21615
Q04121	Q04121	70148
Q04149	Q04149	72309
Q04175	Q04175	108405
Q04177	Q04177	72002
Q04178	Q04178	25191
Q04179	Q04179	37960
Q04195	Q04195	100796
Q04199	Q04199	51252
Q04214	Q04214	198899
Q04217	Q04217	144955
Q04226	Q04226	40624
Q04228	Q04228	66761
Q04235	Q04235	52726
Q04264	Q04264	147041
Q04272	Q04272	25638
Q04305	Q04305	57686
Q04307	Q04307	12513
Q04311	Q04311	72733
Q04322	Q04322	82131
Q04338	Q04338	24668
Q04344	Q04344	17680
Q04359	Q04359	46621
Q04364	Q04364	59065
Q04370	Q04370	45992
Q04371	Q04371	54129
Q04372	Q04372	42568
Q04373	Q04373	75106
Q04377	Q04377	86425
Q04396	Q04396	31586
Q04401	Q04401	15783
Q04409	Q04409	55921
Q04410	Q04410	41119
Q04432	Q04432	25670
Q04437	Q04437	71241
Q04439	Q04439	136899
Q04458	Q04458	59979
Q04461	Q04461	52370
Q04472	Q04472	58004
Q04477	Q04477	24604
Q04491	Q04491	33043
Q04493	Q04493	18356
Q04500	Q04500	103023
Q04511	Q04511	76860
Q04601	Q04601	75256
Q04603	Q04603	21997
Q04629	Q04629	39312
Q04636	Q04636	62994
Q04638	Q04638	54096
Q04651	Q04651	40706
Q04659	Q04659	36355
Q04660	Q04660	91705
Q04670	Q04670	198555
Q04673	Q04673	52290
Q04693	Q04693	153784
Q04705	Q04705	41372
Q04711	Q04711	198525
Q04728	Q04728	47849
Q04739	Q04739	46648
Q04746	Q04746	58440
Q04749	Q04749	47139
Q04779	Q04779	78836
Q04781	Q04781	180186
Q04839	Q04839	21571
Q04847	Q04847	64405
Q04868	Q04868	30574
Q04894	Q04894	39618
Q04921	Q04921	48193
Q04924	Q04924	79907
Q04947	Q04947	32916
Q04951	Q04951	40469
Q04958	Q04958	187133
Q04964	Q04964	11834
Q05016	Q05016	29158
Q05021	Q05021	67555
Q05022	Q05022	193134
Q05027	Q05027	17315
Q05029	Q05029	82049
Q05031	Q05031	50541
Q05080	Q05080	76207
Q05123	Q05123	53074
Q05164	Q05164	94706
Q05166	Q05166	58793
Q05359	Q05359	24723
Q05471	Q05471	174530
Q05515	Q05515	54368
Q05521	Q05521	33514
Q05533	Q05533	32093
Q05549	Q05549	123550
Q05567	Q05567	65566
Q05568	Q05568	39099
Q05580	Q05580	72756
Q05583	Q05583	37275
Q05584	Q05584	31327
Q05636	Q05636	33962
Q05775	Q05775	29564
Q05776	Q05776	20108
Q05777	Q05777	25762
Q05779	Q05779	29958
Q05785	Q05785	71807
Q05787	Q05787	95481
Q05789	Q05789	25975
Q05791	Q05791	41852
Q05871	Q05871	31698
Q05900	Q05900	27045
Q05902	Q05902	73180
Q05919	Q05919	50860
Q05930	Q05930	70528
Q05931	Q05931	72365
Q05934	Q05934	102500
Q05946	Q05946	91032
Q05949	Q05949	45721
Q05958	Q05958	89286
Q05979	Q05979	51032
Q06010	Q06010	117579
Q06032	Q06032	53863
Q06053	Q06053	76596
Q06058	Q06058	32590
Q06063	Q06063	41696
Q06078	Q06078	104791
Q06096	Q06096	98666
Q06102	Q06102	24553
Q06106	Q06106	101120
Q06132	Q06132	102853
Q06135	Q06135	62362
Q06142	Q06142	94776
Q06143	Q06143	32992
Q06144	Q06144	24855
Q06147	Q06147	77566
Q06148	Q06148	39116
Q06151	Q06151	40770
Q06156	Q06156	132967
Q06159	Q06159	46628
Q06160	Q06160	74007
Q06163	Q06163	102635
Q06164	Q06164	167683
Q06168	Q06168	48777
Q06178	Q06178	45859
Q06204	Q06204	48969
Q06205	Q06205	43903
Q06211	Q06211	161238
Q06213	Q06213	17908
Q06217	Q06217	12853
Q06218	Q06218	68060
Q06224	Q06224	87674
Q06263	Q06263	37316
Q06266	Q06266	55468
Q06287	Q06287	27895
Q06321	Q06321	136054
Q06324	Q06324	54817
Q06328	Q06328	35179
Q06339	Q06339	74709
Q06340	Q06340	52542
Q06344	Q06344	72410
Q06346	Q06346	25484
Q06349	Q06349	50492
Q06385	Q06385	39287
Q06389	Q06389	22011
Q06390	Q06390	36052
Q06406	Q06406	9398
Q06408	Q06408	71384
Q06409	Q06409	221563
Q06410	Q06410	48656
Q06411	Q06411	83049
Q06440	Q06440	72553
Q06449	Q06449	23539
Q06488	Q06488	102300
Q06489	Q06489	45020
Q06493	Q06493	52174
Q06504	Q06504	22921
Q06505	Q06505	46082
Q06506	Q06506	65054
Q06508	Q06508	33816
Q06510	Q06510	44188
Q06512	Q06512	63637
Q06522	Q06522	34842
Q06541	Q06541	38194
Q06549	Q06549	15536
Q06551	Q06551	41099
Q06554	Q06554	180344
Q06580	Q06580	18521
Q06592	Q06592	18334
Q06593	Q06593	101261
Q06596	Q06596	33227
Q06598	Q06598	45848
Q06604	Q06604	64666
Q06623	Q06623	75463
Q06625	Q06625	174972
Q06628	Q06628	83281
Q06629	Q06629	77059
Q06630	Q06630	26895
Q06631	Q06631	61203
Q06639	Q06639	101720
Q06648	Q06648	42852
Q06651	Q06651	32675
Q06671	Q06671	51540
Q06675	Q06675	42971
Q06676	Q06676	32011
Q06677	Q06677	75020
Q06679	Q06679	87801
Q06680	Q06680	117851
Q06681	Q06681	160578
Q06685	Q06685	129755
Q06696	Q06696	64018
Q06697	Q06697	44456
Q06703	Q06703	35693
Q06704	Q06704	105225
Q06705	Q06705	47463
Q06706	Q06706	152990
Q06708	Q06708	99773
Q06810	Q06810	38901
Q06817	Q06817	71018
Q06833	Q06833	87324
Q06836	Q06836	137583
Q07084	Q07084	78529
Q07350	Q07350	29921
Q07381	Q07381	90748
Q07418	Q07418	38706
Q07442	Q07442	72513
Q07457	Q07457	80692
Q07468	Q07468	122882
Q07471	Q07471	68366
Q07478	Q07478	50309
Q07508	Q07508	30195
Q07528	Q07528	72546
Q07532	Q07532	40640
Q07533	Q07533	100621
Q07540	Q07540	19490
Q07551	Q07551	35561
Q07560	Q07560	32020
Q07648	Q07648	16746
Q07657	Q07657	62630
Q07688	Q07688	19169
Q07732	Q07732	91812
Q07791	Q07791	201962
Q07793	Q07793	181661
Q07794	Q07794	50096
Q07800	Q07800	47931
Q07804	Q07804	66508
Q07807	Q07807	98068
Q07821	Q07821	27675
Q07824	Q07824	64272
Q07825	Q07825	84924
Q07830	Q07830	115634
Q07845	Q07845	72258
Q07878	Q07878	357849
Q07879	Q07879	19760
Q07896	Q07896	75582
Q07913	Q07913	38335
Q07914	Q07914	17910
Q07915	Q07915	23975
Q07923	Q07923	21281
Q07930	Q07930	23654
Q07938	Q07938	37857
Q07950	Q07950	62447
Q07953	Q07953	28283
Q07963	Q07963	216778
Q08001	Q08001	78212
Q08004	Q08004	18517
Q08032	Q08032	74249
Q08096	Q08096	40171
Q08108	Q08108	75077
Q08109	Q08109	63535
Q08144	Q08144	45875
Q08162	Q08162	113707
Q08179	Q08179	65005
Q08193	Q08193	51870
Q08204	Q08204	126037
Q08214	Q08214	43844
Q08215	Q08215	43676
Q08217	Q08217	124373
Q08218	Q08218	40878
Q08220	Q08220	55815
Q08224	Q08224	61269
Q08229	Q08229	55923
Q08230	Q08230	19042
Q08231	Q08231	52678
Q08235	Q08235	33531
Q08236	Q08236	131379
Q08245	Q08245	12589
Q08273	Q08273	13940
Q08278	Q08278	25585
Q08281	Q08281	149344
Q08282	Q08282	78957
Q08285	Q08285	26556
Q08387	Q08387	108515
Q08412	Q08412	46870
Q08417	Q08417	43187
Q08438	Q08438	73649
Q08444	Q08444	51742
Q08446	Q08446	44860
Q08448	Q08448	51106
Q08465	Q08465	25350
Q08484	Q08484	73289
Q08490	Q08490	66706
Q08491	Q08491	84779
Q08492	Q08492	24385
Q08496	Q08496	85070
Q08548	Q08548	72228
Q08550	Q08550	54358
Q08558	Q08558	30058
Q08562	Q08562	184406
Q08581	Q08581	95380
Q08601	Q08601	47982
Q08641	Q08641	71486
Q08645	Q08645	62151
Q08647	Q08647	77002
Q08649	Q08649	52613
Q08650	Q08650	47711
Q08651	Q08651	37485
Q08683	Q08683	79275
Q08685	Q08685	50226
Q08686	Q08686	34219
Q08689	Q08689	19727
Q08702	Q08702	25757
Q08723	Q08723	38313
Q08747	Q08747	25967
Q08749	Q08749	21972
Q08754	Q08754	84830
Q08760	Q08760	50161
Q08773	Q08773	130327
Q08826	Q08826	18770
Q08831	Q08831	57557
Q08886	Q08886	100940
Q08887	Q08887	60523
Q08905	Q08905	80589
Q08920	Q08920	23774
Q08921	Q08921	88845
Q08923	Q08923	57053
Q08924	Q08924	114461
Q08925	Q08925	68664
Q08931	Q08931	14428
Q08949	Q08949	69694
Q08951	Q08951	106924
Q08955	Q08955	18307
Q08957	Q08957	47105
Q08959	Q08959	37070
Q08960	Q08960	89805
Q08962	Q08962	20381
Q08965	Q08965	135571
Q08967	Q08967	89291
Q08968	Q08968	78313
Q08972	Q08972	134331
Q08975	Q08975	61334
Q08985	Q08985	36669
Q08986	Q08986	64354
Q08992	Q08992	25940
Q10740	Q10740	77353
Q12003	Q12003	40749
Q12006	Q12006	44488
Q12009	Q12009	33391
Q12010	Q12010	34873
Q12017	Q12017	32793
Q12018	Q12018	93944
Q12019	Q12019	559308
Q12024	Q12024	51359
Q12030	Q12030	23019
Q12033	Q12033	75947
Q12038	Q12038	114513
Q12039	Q12039	80576
Q12041	Q12041	21518
Q12043	Q12043	84716
Q12045	Q12045	75730
Q12046	Q12046	38431
Q12050	Q12050	91262
Q12051	Q12051	38651
Q12052	Q12052	36527
Q12055	Q12055	22723
Q12060	Q12060	54466
Q12063	Q12063	42557
Q12068	Q12068	38170
Q12071	Q12071	101520
Q12080	Q12080	52556
Q12088	Q12088	198462
Q12092	Q12092	24708
Q12093	Q12093	47049
Q12094	Q12094	35686
Q12098	Q12098	84362
Q12099	Q12099	45213
Q12106	Q12106	33989
Q12112	Q12112	198998
Q12113	Q12113	201984
Q12114	Q12114	73639
Q12118	Q12118	37218
Q12123	Q12123	40941
Q12124	Q12124	47718
Q12127	Q12127	13058
Q12136	Q12136	70259
Q12141	Q12141	198658
Q12142	Q12142	115403
Q12146	Q12146	21952
Q12149	Q12149	84039
Q12150	Q12150	338258
Q12151	Q12151	100340
Q12154	Q12154	39354
Q12157	Q12157	18865
Q12158	Q12158	63290
Q12159	Q12159	24956
Q12164	Q12164	32186
Q12166	Q12166	67200
Q12168	Q12168	88403
Q12173	Q12173	34027
Q12176	Q12176	116677
Q12178	Q12178	17507
Q12181	Q12181	72328
Q12184	Q12184	18932
Q12186	Q12186	53034
Q12188	Q12188	77202
Q12191	Q12191	38295
Q12193	Q12193	198869
Q12196	Q12196	56122
Q12198	Q12198	64223
Q12206	Q12206	51951
Q12207	Q12207	18967
Q12208	Q12208	33694
Q12211	Q12211	62143
Q12213	Q12213	27696
Q12216	Q12216	81178
Q12220	Q12220	106342
Q12223	Q12223	26630
Q12224	Q12224	73484
Q12229	Q12229	52943
Q12230	Q12230	38071
Q12236	Q12236	121660
Q12241	Q12241	32498
Q12246	Q12246	69639
Q12248	Q12248	10516
Q12250	Q12250	51768
Q12255	Q12255	28964
Q12256	Q12256	73223
Q12262	Q12262	21138
Q12263	Q12263	129858
Q12265	Q12265	53505
Q12267	Q12267	162189
Q12269	Q12269	198521
Q12271	Q12271	124577
Q12273	Q12273	198614
Q12277	Q12277	29055
Q12280	Q12280	172830
Q12284	Q12284	22141
Q12285	Q12285	23732
Q12287	Q12287	8056
Q12292	Q12292	46655
Q12297	Q12297	40296
Q12300	Q12300	83159
Q12303	Q12303	54570
Q12305	Q12305	15413
Q12306	Q12306	11597
Q12309	Q12309	82445
Q12311	Q12311	86029
Q12315	Q12315	62073
Q12316	Q12316	198560
Q12317	Q12317	57093
Q12320	Q12320	32339
Q12321	Q12321	64251
Q12324	Q12324	77953
Q12328	Q12328	21864
Q12330	Q12330	10375
Q12333	Q12333	70905
Q12334	Q12334	25754
Q12339	Q12339	28801
Q12341	Q12341	43873
Q12343	Q12343	32205
Q12344	Q12344	101800
Q12349	Q12349	14128
Q12355	Q12355	45777
Q12001	Q12001	62783
Q12361	Q12361	110709
Q12362	Q12362	67036
Q12363	Q12363	48383
Q12365	Q12365	45384
Q12366	Q12366	40856
Q12373	Q12373	43428
Q12377	Q12377	49774
Q12379	Q12379	19356
Q12380	Q12380	33560
Q12382	Q12382	32840
Q12383	Q12383	54095
Q12386	Q12386	100209
Q12389	Q12389	112946
Q12396	Q12396	50947
Q12400	Q12400	34520
Q12402	Q12402	20270
Q12404	Q12404	36408
Q12406	Q12406	53810
Q12411	Q12411	69878
Q12414	Q12414	198576
Q12416	Q12416	32901
Q12417	Q12417	50700
Q12421	Q12421	22191
Q12425	Q12425	20877
Q12429	Q12429	77941
Q12432	Q12432	45203
Q12438	Q12438	25783
Q12440	Q12440	99978
Q12443	Q12443	44359
Q12445	Q12445	34232
Q12446	Q12446	67572
Q12449	Q12449	39436
Q12451	Q12451	145796
Q12452	Q12452	39725
Q12457	Q12457	66352
Q12460	Q12460	56864
Q12461	Q12461	41452
Q12462	Q12462	26875
Q12463	Q12463	50073
Q12464	Q12464	51612
Q12465	Q12465	133959
Q12466	Q12466	133576
Q12468	Q12468	50812
Q12469	Q12469	75331
Q12472	Q12472	201965
Q12473	Q12473	81989
Q12476	Q12476	39344
Q12477	Q12477	34798
Q12481	Q12481	36125
Q12482	Q12482	104304
Q12483	Q12483	26954
Q12488	Q12488	24204
Q12490	Q12490	198969
Q12491	Q12491	202215
Q12494	Q12494	119550
Q12495	Q12495	70210
Q12499	Q12499	56956
Q12501	Q12501	202131
Q12502	Q12502	89826
Q12505	Q12505	57844
Q12508	Q12508	49169
Q12509	Q12509	50044
Q12511	Q12511	63669
Q12513	Q12513	16771
Q12514	Q12514	65855
Q12517	Q12517	26266
Q12518	Q12518	52352
Q12522	Q12522	26458
Q12524	Q12524	39755
Q12527	Q12527	135025
Q12530	Q12530	23619
Q12532	Q12532	119069
Q12674	Q12674	188319
Q12675	Q12675	182619
Q12680	Q12680	238102
Q12691	Q12691	120296
Q12692	Q12692	14283
Q12697	Q12697	166750
Q12734	Q12734	124849
Q12745	Q12745	82396
Q12746	Q12746	35287
Q12748	Q12748	84252
Q12749	Q12749	128009
Q12754	Q12754	137509
Q3E754	Q3E754	9760
Q3E757	Q3E757	19750
Q3E772	Q3E772	10495
Q3E792	Q3E792	12039
Q3E793	Q3E793	12537
Q3E7B6	Q3E7B6	8381
Q3E7X9	Q3E7X9	7592
Q3E833	Q3E833	9993
Q3E840	Q3E840	9356
Q3E846	Q3E846	12445
Q6Q547	Q6Q547	6636
Q6WNK7	Q6WNK7	11085
Q7LHG5	Q7LHG5	172369
Q92316	Q92316	9517
Q92317	Q92317	16650
Q92325	Q92325	75639
Q92328	Q92328	30729
Q92331	Q92331	76484
Q92393	Q92393	198537
Q96VH5	Q96VH5	10408
Q99176	Q99176	25101
Q99190	Q99190	36768
Q99207	Q99207	94302
Q99210	Q99210	26477
Q99216	Q99216	30332
Q99219	Q99219	34100
Q99220	Q99220	61258
Q99222	Q99222	102250
Q99231	Q99231	198839
Q99257	Q99257	67352
Q99258	Q99258	22568
Q99260	Q99260	24413
Q99271	Q99271	109369
Q99278	Q99278	13307
Q99287	Q99287	89432
Q99299	Q99299	84846
Q99312	Q99312	51330
Q99314	Q99314	29018
Q99315	Q99315	178307
Q99321	Q99321	21572
Q99325	Q99325	29693
Q99337	Q99337	198198
Q99380	Q99380	3985
Q99383	Q99383	59650
Q99385	Q99385	44646
Q99394	Q99394	30749
Q9URQ3	Q9URQ3	37107
Q9ZZW7	Q9ZZW7	61172
Q9ZZX1	Q9ZZX1	72165
D6W196	D6W196	55715
O13525	O13525	38627
O13559	O13559	156367
O13577	O13577	15165
O14455	O14455	11135
O14464	O14464	10698
O75012	O75012	10691
P00425	P00425	17197
P00427	P00427	17342
P00447	P00447	25774
P00856	P00856	5822
P00899	P00899	56768
P00931	P00931	76626
P01097	P01097	9870
P01098	P01098	10062
P01149	P01149	18642
P02381	P02381	47123
P03872	P03872	33196
P03882	P03882	27683
P04046	P04046	56719
P04076	P04076	51989
P04161	P04161	23540
P04173	P04173	38953
P04650	P04650	6342
P04801	P04801	84520
P04803	P04803	43015
P05085	P05085	100282
P05316	P05316	71736
P05694	P05694	85860
P05738	P05738	21569
P05743	P05743	14234
P05747	P05747	6669
P05749	P05749	13693
P06182	P06182	30081
P06633	P06633	23833
P06773	P06773	35646
P06775	P06775	66006
P06776	P06776	61000
P06783	P06783	53708
P07253	P07253	18679
P07262	P07262	49570
P07266	P07266	41290
P07275	P07275	64435
P07285	P07285	41374
P07806	P07806	125770
P07807	P07807	24261
P08431	P08431	42385
P08456	P08456	30805
P08465	P08465	53659
P09368	P09368	53271
P09435	P09435	70547
P09436	P09436	122984
P09457	P09457	22814
P0C074	P0C074	10027
P0C0W1	P0C0W1	14626
P0C2H6	P0C2H6	15531
P0C2H8	P0C2H8	12953
P0C2H9	P0C2H9	12967
P0CD90	P0CD90	17024
P0CD99	P0CD99	68189
P0CE00	P0CE00	67257
P0CE68	P0CE68	137997
P0CH63	P0CH63	25152
P0CH64	P0CH64	25152
P0CW40	P0CW40	68699
P0CW41	P0CW41	68699
P0CX08	P0CX08	56470
P20053	P20053	52442
P22517	P22517	50447
P25037	P25037	92769
P25349	P25349	26350
P25382	P25382	57026
P25390	P25390	152718
P25451	P25451	22605
P26448	P26448	35028
P32568	P32568	168767
P32581	P32581	73593
P32608	P32608	65572
P33329	P33329	78492
P0CX14	P0CX14	211115
P0CX15	P0CX15	211115
P0CX20	P0CX20	203781
P0CX21	P0CX21	203781
P0CX23	P0CX23	20437
P0CX33	P0CX33	7118
P0CX34	P0CX34	7118
P0CX52	P0CX52	15847
P0CX86	P0CX86	3337
P0CX87	P0CX87	3337
P0CY10	P0CY10	14803
P10355	P10355	29155
P10566	P10566	34502
P10594	P10594	60570
P10834	P10834	34637
P10849	P10849	51192
P10869	P10869	58110
P10963	P10963	60983
P11927	P11927	50653
P12612	P12612	60481
P12685	P12685	141073
P12686	P12686	38988
P12687	P12687	43227
P12887	P12887	40471
P13045	P13045	58129
P13090	P13090	59983
P13181	P13181	63626
P13188	P13188	93133
P13298	P13298	24664
P13434	P13434	16154
P13483	P13483	27067
P13711	P13711	84042
P13902	P13902	17378
P14063	P14063	15520
P14066	P14066	26586
P14359	P14359	15199
P14843	P14843	41070
P15179	P15179	75461
P15365	P15365	60850
P15380	P15380	68788
P16965	P16965	9615
P17121	P17121	73629
P17261	P17261	30116
P17423	P17423	38712
P18408	P18408	30380
P18414	P18414	25763
P18544	P18544	46681
P18900	P18900	52560
P18963	P18963	350980
P19158	P19158	351669
P19516	P19516	34044
P19735	P19735	104229
P19736	P19736	63029
P19881	P19881	34625
P20051	P20051	40313
P20084	P20084	9531
P20437	P20437	62050
P20438	P20438	61697
P20484	P20484	47291
P21595	P21595	56071
P21657	P21657	109174
P21771	P21771	33057
P22035	P22035	89604
P22135	P22135	36554
P22136	P22136	67523
P22202	P22202	69651
P22209	P22209	51203
P22353	P22353	26945
P22354	P22354	22392
P22438	P22438	66734
P22470	P22470	65618
P23059	P23059	9725
P23180	P23180	53135
P23248	P23248	28812
P23285	P23285	22769
P23369	P23369	18587
P23500	P23500	33307
P23501	P23501	46488
P23624	P23624	33295
P23641	P23641	32812
P23748	P23748	63358
P23833	P23833	33166
P24000	P24000	17548
P24521	P24521	50455
P24719	P24719	56850
P24871	P24871	53853
P25038	P25038	75657
P25039	P25039	84574
P25270	P25270	46387
P25332	P25332	36924
P25334	P25334	35780
P25337	P25337	18447
P25338	P25338	20173
P25339	P25339	97798
P25345	P25345	56785
P25356	P25356	250872
P25360	P25360	102540
P25365	P25365	114079
P25367	P25367	42580
P25371	P25371	117231
P25379	P25379	39301
P25381	P25381	55068
P25558	P25558	184719
P25559	P25559	44074
P25560	P25560	22270
P25566	P25566	19279
P25567	P25567	48060
P25569	P25569	84517
P25578	P25578	59370
P25587	P25587	29024
P25594	P25594	50225
P25596	P25596	68921
P25621	P25621	58256
P25625	P25625	42541
P25626	P25626	19394
P25628	P25628	71613
P25638	P25638	12511
P26343	P26343	30166
P26637	P26637	124142
P26725	P26725	50836
P26798	P26798	34234
P27344	P27344	22665
P27929	P27929	56356
P28006	P28006	88533
P28239	P28239	35573
P28584	P28584	101087
P29467	P29467	48215
P29478	P29478	31170
P30606	P30606	66710
P31334	P31334	29790
P31379	P31379	37050
P31381	P31381	58317
P31787	P31787	10061
P32048	P32048	66128
P32190	P32190	79824
P32191	P32191	72389
P32263	P32263	30132
P32264	P32264	47162
P32331	P32331	33376
P32339	P32339	37179
P32341	P32341	25287
P32387	P32387	30566
P32445	P32445	15386
P32449	P32449	39749
P32451	P32451	41884
P32459	P32459	21727
P32463	P32463	13943
P32464	P32464	45853
P32469	P32469	33847
P32473	P32473	40054
P32477	P32477	78254
P32489	P32489	26461
P32496	P32496	31919
P32522	P32522	112646
P32525	P32525	68464
P32559	P32559	58352
P32590	P32590	77621
P32601	P32601	16126
P32611	P32611	43786
P32613	P32613	17354
P32617	P32617	18533
P32656	P32656	26294
P32781	P32781	9464
P32785	P32785	44617
P32786	P32786	102049
P32787	P32787	30091
P32804	P32804	41582
P32805	P32805	33994
P32831	P32831	75024
P32836	P32836	24991
P32837	P32837	61873
P32841	P32841	48706
P32843	P32843	96689
P32875	P32875	46247
P32904	P32904	23889
P32907	P32907	30701
P32945	P32945	61420
P33200	P33200	112571
P33204	P33204	19916
P33306	P33306	93738
P33311	P33311	85137
P33312	P33312	27116
P33315	P33315	75029
P33327	P33327	124332
P33411	P33411	28377
P33412	P33412	36863
P33417	P33417	67856
P33448	P33448	6408
P34221	P34221	51332
P36080	P36080	50482
P36123	P36123	117098
P38070	P38070	59591
P38266	P38266	103863
P38688	P38688	73541
P38754	P38754	15153
P38759	P38759	31013
P39011	P39011	70993
P39012	P39012	69221
P33550	P33550	50651
P33750	P33750	56789
P33759	P33759	34883
P33890	P33890	24628
P33893	P33893	61869
P33894	P33894	107200
P34072	P34072	65643
P34165	P34165	3927
P34166	P34166	4229
P34220	P34220	47390
P34222	P34222	22435
P34232	P34232	20784
P34237	P34237	77514
P34239	P34239	93359
P34240	P34240	55403
P34248	P34248	67525
P34253	P34253	35322
P35127	P35127	26385
P35176	P35176	25327
P35183	P35183	48349
P35190	P35190	51571
P35202	P35202	36616
P35210	P35210	121338
P35497	P35497	38166
P35723	P35723	23459
P35727	P35727	13521
P35731	P35731	31184
P35842	P35842	52758
P35996	P35996	14905
P36001	P36001	48143
P36002	P36002	73502
P36008	P36008	46520
P36019	P36019	24648
P36023	P36023	101825
P36036	P36036	23778
P36039	P36039	28352
P36040	P36040	30739
P36044	P36044	139381
P36053	P36053	16157
P36059	P36059	37357
P36062	P36062	75459
P36064	P36064	13007
P36069	P36069	33776
P36070	P36070	72388
P36093	P36093	40646
P36097	P36097	118889
P36101	P36101	50266
P36106	P36106	67901
P36110	P36110	33780
P36115	P36115	68880
P36118	P36118	36647
P36120	P36120	83308
P36121	P36121	32142
P36142	P36142	48757
P36144	P36144	31616
P36145	P36145	36985
P36147	P36147	21968
P36159	P36159	96816
P36164	P36164	38311
P36166	P36166	79434
P36167	P36167	27466
P36168	P36168	137491
P36169	P36169	39830
P36173	P36173	68954
P36224	P36224	43607
P36516	P36516	44000
P36517	P36517	36965
P36519	P36519	33099
P36520	P36520	36347
P36521	P36521	28515
P36523	P36523	28167
P36525	P36525	30049
P36526	P36526	16492
P36527	P36527	17342
P36528	P36528	32213
P36532	P36532	11949
P36533	P36533	7973
P37261	P37261	21232
P37262	P37262	34501
P37291	P37291	52218
P37302	P37302	60137
P37898	P37898	97663
P38064	P38064	26518
P38065	P38065	115012
P38066	P38066	38332
P38067	P38067	54189
P38068	P38068	22565
P38072	P38072	34889
P38082	P38082	25009
P38090	P38090	67262
P38113	P38113	37648
P38114	P38114	126904
P38122	P38122	34465
P38126	P38126	63460
P38127	P38127	42102
P38131	P38131	54556
P38148	P38148	91685
P38158	P38158	68142
P38162	P38162	22966
P38163	P38163	111623
P38164	P38164	117636
P38166	P38166	24274
P38175	P38175	20395
P38193	P38193	50655
P38196	P38196	72165
P38200	P38200	38015
P38204	P38204	16505
P38210	P38210	19792
P38218	P38218	19938
P38219	P38219	44174
P38224	P38224	33776
P38226	P38226	45515
P38241	P38241	40925
P38254	P38254	86353
P38260	P38260	32604
P38278	P38278	38550
P38282	P38282	33772
P38288	P38288	47994
P38293	P38293	16760
P38300	P38300	31811
P38302	P38302	15970
P38315	P38315	77741
P38326	P38326	34344
P38331	P38331	27577
P38337	P38337	16429
P38347	P38347	47977
P38349	P38349	50031
P38359	P38359	95951
P38616	P38616	37328
P38620	P38620	34765
P38625	P38625	58482
P38682	P38682	55094
P38687	P38687	69006
P38698	P38698	45051
P38699	P38699	83473
P38705	P38705	50390
P38724	P38724	69566
P38727	P38727	26972
P38735	P38735	180926
P38737	P38737	210431
P38748	P38748	67503
P38749	P38749	37955
P38751	P38751	17121
P38756	P38756	48883
P38760	P38760	75920
P38769	P38769	72307
P38772	P38772	42334
P38773	P38773	27165
P38777	P38777	27339
P38783	P38783	15292
P38789	P38789	51764
P38791	P38791	42892
P38794	P38794	26467
P38795	P38795	80686
P38796	P38796	44888
P38798	P38798	126747
P38812	P38812	20945
P38813	P38813	39069
P38816	P38816	37087
P38818	P38818	68284
P38824	P38824	17318
P38837	P38837	32214
P38851	P38851	143584
P38858	P38858	27784
P38860	P38860	57847
P38865	P38865	21651
P38866	P38866	49099
P38871	P38871	65815
P38877	P38877	15169
P38880	P38880	66703
P38892	P38892	33785
P38904	P38904	161597
P38909	P38909	42368
P38957	P38957	26123
P38962	P38962	23148
P38966	P38966	98712
P38972	P38972	148905
P38985	P38985	16430
P38986	P38986	41395
P38988	P38988	33215
P38999	P38999	48918
P39000	P39000	56578
P39076	P39076	57203
P39077	P39077	58814
P39078	P39078	57604
P39079	P39079	59924
P39102	P39102	51347
P39103	P39103	7959
P39106	P39106	88529
P39113	P39113	160485
P40547	P40547	105491
P41698	P41698	66289
P39526	P39526	229900
P39535	P39535	97689
P39543	P39543	26598
P39547	P39547	27117
P39548	P39548	26458
P39677	P39677	91283
P39684	P39684	70842
P39690	P39690	79535
P39692	P39692	114829
P39712	P39712	138073
P39713	P39713	46099
P39715	P39715	23891
P39724	P39724	13356
P39732	P39732	86636
P39734	P39734	58750
P39735	P39735	29770
P39924	P39924	62734
P39927	P39927	46983
P39932	P39932	63532
