accession	input_id	cc_subunit
P39935	P39935	SUBUNIT: Component of the eIF4F complex, which composition varies with external and internal environmental conditions. It is composed of at least eIF4A (TIF1/TIF2), eIF4E (TIF45) and eIF4G (TIF4631 or TIF4632) (By similarity). Interacts with PAT1 in a RNA-dependent manner. {ECO:0000250, ECO:0000269|PubMed:10357826, ECO:0000269|PubMed:10944120, ECO:0000269|PubMed:11741542, ECO:0000269|PubMed:9256432, ECO:0000269|PubMed:9702200}.
P39936	P39936	SUBUNIT: Component of the eIF4F complex, which composition varies with external and internal environmental conditions. It is composed of at least eIF4A (TIF1/TIF2), eIF4E (TIF45) and eIF4G (TIF4631 or TIF4632) (By similarity). Interacts with PAT1 in a RNA-dependent manner. {ECO:0000250, ECO:0000269|PubMed:10357826, ECO:0000269|PubMed:11741542, ECO:0000269|PubMed:9003792, ECO:0000269|PubMed:9256432, ECO:0000269|PubMed:9418852}.
P39940	P39940	SUBUNIT: Component of the RSP5-BUL1/2 ubiquitin ligase complex composed of at least RSP5 and BUL1 or BUL2 (PubMed:8668140, PubMed:9931424). Component of the RSP5-UBA1-UBC5 ubiquitin ligase complex composed of E3 RSP5, E1 UBA1 and E2 UBC5 (Probable). Forms also a ternary complex with RUP1 and UBP2 (PubMed:15933713). Interacts (via WW domains) with LSB1 (PubMed:22000681). Interacts (via WW domains) with PIN3/LSB2 (PubMed:22000681). Interacts (via WW domains) with RCR1 (via PY motifs) (PubMed:17213653). Interacts with UBP2; the interaction is direct (PubMed:19920177). Interacts with HSE1 (PubMed:15086794, PubMed:17079730). Interacts with LAS17 (PubMed:22000681). Interacts with ROG3 (PubMed:12163175). Interacts with ROD1 (PubMed:12163175). Interacts with RVS167 (PubMed:22000681). Interacts with ubiquitin (PubMed:21399621). {ECO:0000269|PubMed:12163175, ECO:0000269|PubMed:15086794, ECO:0000269|PubMed:15933713, ECO:0000269|PubMed:17079730, ECO:0000269|PubMed:17213653, ECO:0000269|PubMed:19920177, ECO:0000269|PubMed:21399621, ECO:0000269|PubMed:22000681, ECO:0000269|PubMed:8668140, ECO:0000269|PubMed:9931424, ECO:0000305|PubMed:19920177}.
P39943	P39943	NA
P39946	P39946	SUBUNIT: Self-associates. Interacts with NDL1. May form a complex with dynein. {ECO:0000269|PubMed:15965467}.
P39952	P39952	SUBUNIT: Interacts with the large ribosome subunit of mitochondrial ribosome (PubMed:14657017, PubMed:22904327). Interacts directly with MRP20 (PubMed:14657017). Interacts with OXA1 (PubMed:25609543). {ECO:0000269|PubMed:14657017, ECO:0000269|PubMed:22904327, ECO:0000269|PubMed:25609543}.
P39956	P39956	NA
P39958	P39958	SUBUNIT: Interacts with the GDP-bound form of Rab GTPase YPT1. Interacts with YPT10. {ECO:0000269|PubMed:10394895, ECO:0000269|PubMed:14576435}.
P39960	P39960	NA
P39962	P39962	NA
P39966	P39966	NA
P39968	P39968	SUBUNIT: Interacts with NVJ1 (PubMed:10888680, PubMed:16912077, PubMed:28533415). Forms heterotetramers of two VAC8 and two NVJ1 or two VAC8 and two ATG13 (PubMed:31512555). {ECO:0000269|PubMed:10888680, ECO:0000269|PubMed:16912077, ECO:0000269|PubMed:28533415, ECO:0000269|PubMed:31512555}.
P39969	P39969	NA
P39976	P39976	NA
P39979	P39979	NA
P39984	P39984	SUBUNIT: Component of the HAT-B complex composed of at least HAT1 and HAT2. In the cytoplasm, this complex binds to the histone H4 tail. In the nucleus, the HAT-B complex has an additional component, the histone H3/H4 chaperone HIF1. {ECO:0000269|PubMed:14761951, ECO:0000269|PubMed:15099519, ECO:0000269|PubMed:24835250, ECO:0000269|PubMed:8858151}.
P39985	P39985	SUBUNIT: Interacts with FRK1. {ECO:0000269|PubMed:20489023}.
P39986	P39986	NA
P39990	P39990	SUBUNIT: Binds to the C'/D and B/C motifs in U3 snoRNA. Component of the U4/U6-U5 tri-snRNP complex composed of the U4, U6 and U5 snRNAs and at least PRP3, PRP4, PRP6, PRP8, PRP18, PRP31, PRP38, SNU13, SNU23, SNU66, SNU114, SPP381, SMB1, SMD1, SMD2, SMD3, SMX2, SMX3, LSM2, LSM3, LSM4, LSM5, LSM6, LSM7, LSM8, BRR2 and DIB1. Binds to the 5'-stem-loop of U4 snRNA. Component of the ribosomal small subunit (SSU) processome composed of at least 40 protein subunits and snoRNA U3. {ECO:0000269|PubMed:10377396, ECO:0000269|PubMed:10449419, ECO:0000269|PubMed:11081632, ECO:0000269|PubMed:11804584, ECO:0000269|PubMed:12068309, ECO:0000269|PubMed:12215523}.
P39993	P39993	SUBUNIT: Interacts (via SEC7 domain) with DRS2 (via C-terminus); the interaction is direct (PubMed:14734650). Interacts with GMH1 (PubMed:11888276, PubMed:12808035). {ECO:0000269|PubMed:11888276, ECO:0000269|PubMed:12808035, ECO:0000269|PubMed:14734650}.
P39995	P39995	SUBUNIT: Component of the NuA4 histone acetyltransferase complex composed of at least ACT1, ARP4, YAF9, VID21, SWC4, EAF3, EAF5, EAF6, EAF7, EPL1, ESA1, TRA1 and YNG2. {ECO:0000269|PubMed:15353583, ECO:0000269|PubMed:15485911}.
P39997	P39997	NA
P39998	P39998	SUBUNIT: Homodimer. Interacts with DCP2. {ECO:0000269|PubMed:18678652}.
P40009	P40009	SUBUNIT: Interacts with activator subunit VMA13 of vacuolar H(+)-ATPase. Interacts with CDC55; this interaction is disrupted by adenovirus E4orf4, which remains associated with both YND1 and CDC55. {ECO:0000269|PubMed:10954728, ECO:0000269|PubMed:16227198}.
P40010	P40010	NA
P40011	P40011	SUBUNIT: Homotrimer. Forms a ring-like structure with a central cavity. {ECO:0000269|PubMed:16195557}.
P40013	P40013	NA
P40014	P40014	SUBUNIT: Component of the NDC80 complex, which consists of TID3/NDC80, NUF2, SPC24 and SPC25. The NDC80 complex is formed by two subcomplexes, TID3/NDC80-NUF2 and SPC24-SPC25, which are joined end-to-end through their coiled-coil domains. It has a rod-like structure with a length of 570 Angstroms and globular domains at either end. The TID3/NDC80-NUF2 globular domains are probably directed to microtubules, the SPC24-SPC25 globular domains to the centromere. {ECO:0000269|PubMed:11266451, ECO:0000269|PubMed:15371542}.
P40015	P40015	NA
P40016	P40016	SUBUNIT: The 26S proteasome is composed of a core protease, known as the 20S proteasome, capped at one or both ends by the 19S regulatory complex (RC). The RC is composed of at least 18 different subunits in two subcomplexes, the base and the lid, which form the portions proximal and distal to the 20S proteolytic core, respectively (By similarity). {ECO:0000250}.
P40018	P40018	SUBUNIT: Component of the Sm core complex, present in spliceosomal snRNP U1, U2, U4/U6 and U5. The core complex contains SMB1, SMD1, SMD2, SMD3, SME1, SMX3 and SMX2 (Sm proteins B, D1, D2, D3, E, F and G, respectively), and is probably a heptameric ring structure. SMB1 specifically interacts with SMD3. Belongs to the CWC complex (or CEF1-associated complex), a spliceosome sub-complex reminiscent of a late-stage spliceosome composed of the U2, U5 and U6 snRNAs and at least BUD13, BUD31, BRR2, CDC40, CEF1, CLF1, CUS1, CWC2, CWC15, CWC21, CWC22, CWC23, CWC24, CWC25, CWC27, ECM2, HSH155, IST3, ISY1, LEA1, MSL1, NTC20, PRP8, PRP9, PRP11, PRP19, PRP21, PRP22, PRP45, PRP46, SLU7, SMB1, SMD1, SMD2, SMD3, SMX2, SMX3, SNT309, SNU114, SPP2, SYF1, SYF2, RSE1 and YJU2. Component of the U4/U6-U5 tri-snRNP complex composed of the U4, U6 and U5 snRNAs and at least PRP3, PRP4, PRP6, PRP8, PRP18, PRP38, SNU13, SNU23, SNU66, SNU114, SPP381, SMB1, SMD1, SMD2, SMD3, SMX2, SMX3, LSM2, LSM3, LSM4, LSM5, LSM6, LSM7, LSM8, BRR2 and DIB1. Interacts with the trimethylguanosine synthase TGS1. {ECO:0000269|PubMed:10449419, ECO:0000269|PubMed:11302706, ECO:0000269|PubMed:11884590, ECO:0000269|PubMed:11983179, ECO:0000269|PubMed:9528767}.
P40021	P40021	SUBUNIT: Interacts with BUD27, GIS1 and SSD1. {ECO:0000269|PubMed:15972461, ECO:0000269|PubMed:17043893}.
P40024	P40024	SUBUNIT: Interacts with LSG1. {ECO:0000269|PubMed:16260602}.
P40028	P40028	NA
P40032	P40032	SUBUNIT: Monomer and homodimer (PubMed:20040577, PubMed:20630870). Interacts with FRK1, eRF1 (SUP1), eRF3 (SUP35) and polyadenylate-binding protein PAB1. Interacts with ETT1 (PubMed:16809762, PubMed:20489023). {ECO:0000269|PubMed:16809762, ECO:0000269|PubMed:20040577, ECO:0000269|PubMed:20489023, ECO:0000269|PubMed:20630870}.
P40034	P40034	NA
P40046	P40046	SUBUNIT: The VTC core complex is an integral membrane heterooligomer composed of the catalytic subunit VTC4 and the accessory subunits VTC1, VTC2 and VTC3. The complex exists in 2 different sub-complexes: VTC1-VTC2-VCT4 and VCT1-VTC3-VTC4. The VCT1-VTC3-VTC4 subcomplex is mostly found on the vacuolar membrane. The VTC1-VTC2-VCT4 subcomplex is observed in the cell periphery, probably ER and nuclear envelope, but localizes to the vacuole under phosphate starvation. Each subunit contains 3 transmembrane helices. VTC1 is a small membrane protein without hydrophilic domain. VTC2, VTC3 and VTC4 are related and have 2 hydrophilic domains that face the cytosol, an N-terminal SPX domain and the central core domain. The central core in VTC4 is the catalytic domain, with the essential catalytic lysine replaced by isoleucine and leucine in VTC2 and VTC3, respectively (PubMed:19390046). The core complex associates with the accessory subunit VTC5 (PubMed:27587415). The complex interacts with the v-SNARE NYV1 and with the V(0) subunit of V-ATPase VPH1 (PubMed:11823419). {ECO:0000269|PubMed:11823419, ECO:0000269|PubMed:19390046, ECO:0000269|PubMed:27587415}.
P40047	P40047	NA
P40048	P40048	SUBUNIT: Interacts with HOG1. {ECO:0000269|PubMed:9211927}.
P40054	P40054	NA
P40055	P40055	SUBUNIT: Interacts with snoRNA U3. Interacts with MPP10. Component of the ribosomal small subunit (SSU) processome composed of at least 40 protein subunits and snoRNA U3. {ECO:0000269|PubMed:12068309}.
P40056	P40056	SUBUNIT: Component of the Golgi to ER traffic (GET) complex, which is composed of GET1, GET2 and GET3. Within the complex, GET1 and GET2 form a heterotetramer which is stabilized by phosphatidylinositol binding and which binds to the GET3 homodimer (PubMed:32910895). {ECO:0000255|HAMAP-Rule:MF_03114, ECO:0000269|PubMed:11805837, ECO:0000269|PubMed:16269340, ECO:0000269|PubMed:21719644, ECO:0000269|PubMed:21835666, ECO:0000269|PubMed:32910895}.
P40059	P40059	SUBUNIT: Component of the RPD3C(L) complex composed of at least ASH1, CTI6, DEP1, DOT6, PHO23, RPD3, RXT2, RXT3, SAP30, SDS3, SIN3, TOD6; UME1 and UME6. {ECO:0000269|PubMed:19040720}.
P40061	P40061	SUBUNIT: The target of rapamycin complex 2 (TORC2) is composed of at least AVO1, AVO2, BIT61, LST8, TOR2 and TSC11. TORC2 likely forms a homodimer. Contrary to TORC1, TORC2 does not bind to and is not sensitive to FKBP-rapamycin. TSC11 binds to the N-terminal HEAT repeat region in TOR2 and is required for TORC2 integrity by tethering AVO1 and AVO2 to the complex. {ECO:0000269|PubMed:12408816, ECO:0000269|PubMed:12631735, ECO:0000269|PubMed:16002396}.
P40063	P40063	NA
P40064	P40064	SUBUNIT: Component of the nuclear pore complex (NPC). NPC constitutes the exclusive means of nucleocytoplasmic transport. NPCs allow the passive diffusion of ions and small molecules and the active, nuclear transport receptor-mediated bidirectional transport of macromolecules such as proteins, RNAs, ribonucleoparticles (RNPs), and ribosomal subunits across the nuclear envelope. Due to its 8-fold rotational symmetry, all subunits are present with 8 copies or multiples thereof. NUP157 may be part of a NPC subcomplex containing NUP53, NUP170, and NUP59. In addition it may bind to MAD2. {ECO:0000269|PubMed:10684247}.
P40065	P40065	SUBUNIT: Component of the monopolin complex composed of at least CSM1, LRS4 and MAM1. The complex associates with the kinetochore during late pachytene. {ECO:0000269|PubMed:12689592}.
P40066	P40066	SUBUNIT: Component of the nuclear pore complex (NPC). NPC constitutes the exclusive means of nucleocytoplasmic transport. NPCs allow the passive diffusion of ions and small molecules and the active, nuclear transport receptor-mediated bidirectional transport of macromolecules such as proteins, RNAs, ribonucleoparticles (RNPs), and ribosomal subunits across the nuclear envelope. Due to its 8-fold rotational symmetry, all subunits are present with 8 copies or multiples thereof. GLE2 interacts with the NUP82 subcomplex via NUP116. It also interacts with NUP42. {ECO:0000269|PubMed:10684247, ECO:0000269|PubMed:8970155, ECO:0000269|PubMed:9463388}.
P40068	P40068	NA
P40069	P40069	SUBUNIT: Interacts with Ran (GSP1); interacts specifically with the GTP-bound form of Ran (GTP-Ran), protecting it from GTP hydrolysis and nucleotide exchange (PubMed:9321403). Interacts with RPL25; this interaction is dissociated by binding to Ran-GTP (PubMed:9321403). Interacts with YAP1 (PubMed:11274141). Interacts with histones H3 and H4; via their NLS (PubMed:11694505). {ECO:0000269|PubMed:11274141, ECO:0000269|PubMed:11694505, ECO:0000269|PubMed:9321403}.
P40070	P40070	SUBUNIT: Component of the heptameric LSM1-LSM7 complex that forms a seven-membered ring structure with a doughnut shape. The LSm subunits are arranged in the order LSM1, LSM2, LSM3, LSM6, LSM5, LSM7 and LSM4. Except for LSM1, where a C-terminal helix crosses the ring structure to form additional interactions with LSM3 and LSM6, each subunit interacts only with its two neighboring subunits. The LSM1-LSM7 complex interacts with PAT1; within the complex PAT1 has direct interactions with LSM2 and LSM3. Component of the heptameric LSM2-LSM8 complex that forms a seven-membered ring structure with a doughnut shape; an RNA strand can pass through the hole in the center of the ring structure. The LSm subunits are arranged in the order LSM8, LSM2, LSM3, LSM6, LSM5, LSM7 and LSM4. LSM2-LSM8 associates with PAT1 and XRN1. A complex comprising LSM2-LSM7 without LSM1 or LSM8 may exist. Component of the U4/U6-U5 tri-snRNP complex composed of the U4, U6 and U5 snRNAs and at least PRP3, PRP4, PRP6, PRP8, PRP18, PRP31, PRP38, SNU13, SNU23, SNU66, SNU114, SPP381, SMB1, SMD1, SMD2, SMD3, SMX2, SMX3, LSM2, LSM3, LSM4, LSM5, LSM6, LSM7, LSM8, BRR2 and DIB1. {ECO:0000269|PubMed:10369684, ECO:0000269|PubMed:10449419, ECO:0000269|PubMed:10747033, ECO:0000269|PubMed:24139796, ECO:0000269|PubMed:24240276, ECO:0000269|PubMed:24513854}.
P40072	P40072	SUBUNIT: Component of the heterodimeric SUMO-targeted ubiquitin ligase (STUbL) complex composed of SLX5 and SLX8. {ECO:0000269|PubMed:11139495, ECO:0000269|PubMed:17669696, ECO:0000269|PubMed:17728242, ECO:0000269|PubMed:17848550, ECO:0000269|PubMed:18032921, ECO:0000269|PubMed:18948542}.
P40073	P40073	SUBUNIT: Forms homooligomers. Interacts (via the SH3 domain) with PBS2. Interacts with FUS1, STE11, STE50 and RNA polymerase II. {ECO:0000269|PubMed:10970855, ECO:0000269|PubMed:14668868, ECO:0000269|PubMed:15020407, ECO:0000269|PubMed:15200958, ECO:0000269|PubMed:15200959, ECO:0000269|PubMed:15256499, ECO:0000269|PubMed:16778768, ECO:0000269|PubMed:17363249, ECO:0000269|PubMed:9180081}.
P40075	P40075	SUBUNIT: Interacts with OPI1. {ECO:0000269|PubMed:12727870, ECO:0000269|PubMed:15455074}.
P40078	P40078	SUBUNIT: Component of the pre-66S ribosomal particle. Interacts with NOP7 and RRP1. Interacts with RSA4 (via WD repeats) (PubMed:25404745). {ECO:0000269|PubMed:11583614, ECO:0000269|PubMed:15100437, ECO:0000269|PubMed:16861225, ECO:0000269|PubMed:17443350, ECO:0000269|PubMed:25404745}.
P40084	P40084	SUBUNIT: Interacts with RPO21. {ECO:0000269|PubMed:18408053}.
P40086	P40086	SUBUNIT: Forms 200-350 kDa oligomeric complexes independent on heme binding (PubMed:26940873, PubMed:30181213). In addition to form homooligomeric complexes, a portion also associates with the mitochondrial respiratory supercomplexes. Interacts with CcO assembly factors PET117, SHY1, COA3 and COA1, CcO subunit COX13 and cytochrome b-c1 subunit COR1 (PubMed:23979592, PubMed:27998984, PubMed:30181213, PubMed:37348627). {ECO:0000269|PubMed:23979592, ECO:0000269|PubMed:26940873, ECO:0000269|PubMed:27998984, ECO:0000269|PubMed:30181213, ECO:0000269|PubMed:37348627}.
P40087	P40087	SUBUNIT: Forms homodimers. Interacts with RAD23. These interactions are mediated by the UBA domain. Is also able to bind ubiquitin and polyubiquitinated proteins. Interacts with the SNAREs SNC1, SNC2, SSO1, TLG1 and TLG2. Binding to SSO1 is promoted by the phosphorylation of 'Ser-49' of SSO1 by TKP1. {ECO:0000269|PubMed:10330187, ECO:0000269|PubMed:11700052, ECO:0000269|PubMed:12925750, ECO:0000269|PubMed:15964793, ECO:0000269|PubMed:16478980, ECO:0000269|PubMed:17010377, ECO:0000269|PubMed:17144915}.
P40089	P40089	SUBUNIT: Component of the heptameric LSM1-LSM7 complex that forms a seven-membered ring structure with a doughnut shape. The LSm subunits are arranged in the order LSM1, LSM2, LSM3, LSM6, LSM5, LSM7 and LSM4. Except for LSM1, where a C-terminal helix crosses the ring structure to form additional interactions with LSM3 and LSM6, each subunit interacts only with its two neighboring subunits. The LSM1-LSM7 complex interacts with PAT1; within the complex PAT1 has direct interactions with LSM2 and LSM3. Component of the heptameric LSM2-LSM8 complex that forms a seven-membered ring structure with a doughnut shape; an RNA strand can pass through the hole in the center of the ring structure. The LSm subunits are arranged in the order LSM8, LSM2, LSM3, LSM6, LSM5, LSM7 and LSM4. LSM2-LSM8 associates with PAT1 and XRN1. A complex comprising LSM2-LSM7 without LSM1 or LSM8 may exist. Component of the spliceosome U4/U6-U5 tri-snRNP complex composed of the U4, U6 and U5 snRNAs and at least PRP3, PRP4, PRP6, PRP8, PRP18, PRP31, PRP38, SNU13, SNU23, SNU66, SNU114, SPP381, SMB1, SMD1, SMD2, SMD3, SMX2, SMX3, LSM2, LSM3, LSM4, LSM5, LSM6, LSM7, LSM8, BRR2 and DIB1. Interacts with PAT1. {ECO:0000269|PubMed:10369684, ECO:0000269|PubMed:10449419, ECO:0000269|PubMed:10747033, ECO:0000269|PubMed:10761922, ECO:0000269|PubMed:24139796, ECO:0000269|PubMed:24240276, ECO:0000269|PubMed:24513854}.
P40090	P40090	SUBUNIT: Interacts with SCC2 to form the cohesin loading complex. {ECO:0000269|PubMed:10882066, ECO:0000269|PubMed:26038942}.
P40091	P40091	NA
P40094	P40094	SUBUNIT: Component of the conserved oligomeric Golgi (COG or Sec34/Sec35) complex which consists of eight different proteins COG1-COG8. {ECO:0000269|PubMed:10562277, ECO:0000269|PubMed:11703943, ECO:0000269|PubMed:12006647}.
P40096	P40096	SUBUNIT: Component of the NC2 (negative cofactor 2) complex composed of BUR6 and NCB2. The NC2 complex associates with SPT15/TBP. Interacts with SPT15/TBP. {ECO:0000269|PubMed:8948634, ECO:0000269|PubMed:9023340, ECO:0000269|PubMed:9096360}.
P40106	P40106	SUBUNIT: Monomer. {ECO:0000269|PubMed:8662716}.
P40107	P40107	SUBUNIT: Homooligomer. {ECO:0000269|PubMed:10570930, ECO:0000269|PubMed:11067855}.
P40150	P40150	SUBUNIT: Binds to ribosomes (PubMed:1394434, PubMed:27917864, PubMed:9670014). Binds close to the ribosomal tunnel exit via contacts with both ribosomal proteins RPL35, RPL39 and RPL19, and rRNA (By similarity). Directly interacts with nascent polypeptides. This interaction is dependent on the ribosome-associated complex (RAC) (PubMed:11929994, PubMed:23332755). Interacts with SSE1 (PubMed:23332755). {ECO:0000250|UniProtKB:P11484, ECO:0000269|PubMed:11929994, ECO:0000269|PubMed:1394434, ECO:0000269|PubMed:23332755, ECO:0000269|PubMed:27917864, ECO:0000269|PubMed:9670014}.
P40151	P40151	NA
P40152	P40152	SUBUNIT: Interacts with PPN1. {ECO:0000269|PubMed:28302909}.
P40160	P40160	SUBUNIT: Component of a late pre-40S ribosomal particle, composed of the 40S ribosomal proteins and the non-ribosomal factors DIM1, DIM2, ENP1, HRR25, LTV1, NOB1, RIO2 and TSR1. {ECO:0000269|PubMed:16738661}.
P40161	P40161	SUBUNIT: Homodimers (via the N-terminal domain) (PubMed:22307274). Interacts with the SWI/SNF complex (PubMed:21698254). Interacts with the RSC complex (PubMed:21698254). Interacts with the HIR complex (PubMed:19683497, PubMed:21698254). Interacts with the CAF-1 complex (PubMed:19683497). Interacts with RLF2 (PubMed:16157874). Interacts with SIR4 (PubMed:17410207). Interacts with YTA7 (PubMed:22156209). Interacts with CAC2 (PubMed:19683497). Interacts with HPC2 (PubMed:19683497). Interacts with HIR2 (PubMed:19683497). Interacts with MSI1 (PubMed:19683497). Interacts with HIR1 (PubMed:19683497). Interacts with histone H3 (PubMed:16157874, PubMed:20007951, PubMed:20188666, PubMed:21444721, PubMed:22307274). Interacts with histone H4 (PubMed:16157874, PubMed:20007951, PubMed:21444721, PubMed:22307274). {ECO:0000269|PubMed:16157874, ECO:0000269|PubMed:17410207, ECO:0000269|PubMed:19683497, ECO:0000269|PubMed:20007951, ECO:0000269|PubMed:20188666, ECO:0000269|PubMed:21444721, ECO:0000269|PubMed:21698254, ECO:0000269|PubMed:22156209, ECO:0000269|PubMed:22307274}.
P40164	P40164	SUBUNIT: Regulatory subunit 3 (R3) of the histone H2A phosphatase complex (HTP-C) consisting of PPH3, PSY2 and PSY4. Interacts with SPT4, SPT5 and TIP41. {ECO:0000269|PubMed:16085932, ECO:0000269|PubMed:16299494}.
P40167	P40167	SUBUNIT: Component of the MIS (mRNA N6-methyladenosine (m6A) methylation) complex, at least composed of IME4, KAR4, MUM2, SLZ1, and VIR1 (PubMed:22685417, PubMed:24269006). Interacts with VIR1 (PubMed:36930734). {ECO:0000269|PubMed:22685417, ECO:0000269|PubMed:24269006, ECO:0000269|PubMed:36930734}.
P40186	P40186	SUBUNIT: Forms a cyclin-CDK complex with PHO85. Interacts with the substrate proteins MMR1 and YJL084C. Interacts with the CDK inhibitor (CKI) PHO81. {ECO:0000269|PubMed:11069666, ECO:0000269|PubMed:12006994, ECO:0000269|PubMed:12098764, ECO:0000269|PubMed:12174291, ECO:0000269|PubMed:9032248}.
P40202	P40202	SUBUNIT: Homodimer, and heterodimer with apo-SOD1. Zinc-binding at His-16 of CCS1 and 'Glu-43' of apo-SOD1 is required for this heterodimerization. {ECO:0000269|PubMed:10426947, ECO:0000269|PubMed:10736160, ECO:0000269|PubMed:11101286, ECO:0000269|PubMed:11524675}.
P40204	P40204	SUBUNIT: Component of the Sm core complex, present in spliceosomal snRNP U1, U2, U4/U6 and U5. The core complex contains SMB1, SMD1, SMD2, SMD3, SME1, SMX3 and SMX2 (Sm proteins B, D1, D2, D3, E, F and G, respectively), and is probably a heptameric ring structure. SMX2 specifically interacts with SME1. Belongs to the CWC complex (or CEF1-associated complex), a spliceosome sub-complex reminiscent of a late-stage spliceosome composed of the U2, U5 and U6 snRNAs and at least BUD13, BUD31, BRR2, CDC40, CEF1, CLF1, CUS1, CWC2, CWC15, CWC21, CWC22, CWC23, CWC24, CWC25, CWC27, ECM2, HSH155, IST3, ISY1, LEA1, MSL1, NTC20, PRP8, PRP9, PRP11, PRP19, PRP21, PRP22, PRP45, PRP46, SLU7, SMB1, SMD1, SMD2, SMD3, SMX2, SMX3, SNT309, SNU114, SPP2, SYF1, SYF2, RSE1 and YJU2. Component of the U4/U6-U5 tri-snRNP complex composed of the U4, U6 and U5 snRNAs and at least PRP3, PRP4, PRP6, PRP8, PRP18, PRP31, PRP38, SNU13, SNU23, SNU66, SNU114, SPP381, SMB1, SMD1, SMD2, SMD3, SMX2, SMX3, LSM2, LSM3, LSM4, LSM5, LSM6, LSM7, LSM8, BRR2 and DIB1. {ECO:0000269|PubMed:10449419, ECO:0000269|PubMed:11302706, ECO:0000269|PubMed:11884590, ECO:0000269|PubMed:9528767}.
P40208	P40208	SUBUNIT: Identified in the GID complex. In the absence of glucose, the complex contains VID30/GID1, the E3 ubiquitin-ligase RMD5/GID2, VID28/GID5, GID7, GID8, and FYV10/GID9. When cells are shifted to glucose-containing medium, VID24/GID4 is induced and becomes part of the complex (PubMed:22645139). Within the GID complex, interacts directly with VID30/GID1, RMD5/GID2 and FYV10/GID9 (PubMed:22645139). {ECO:0000269|PubMed:22645139}.
P40215	P40215	NA
P40217	P40217	SUBUNIT: The eukaryotic translation initiation factor 3 (eIF-3) core complex is composed of TIF32, PRT1, NIP1, TIF34 and TIF35. The factors eIF-1, eIF-2, eIF-3, TIF5/eIF-5 and methionyl-tRNAi form a multifactor complex (MFC) that may bind to the 40S ribosome. {ECO:0000269|PubMed:18599441, ECO:0000269|PubMed:9671501}.
P40218	P40218	SUBUNIT: Interacts specifically with the seipin complex FLD1-LDB16. Only a fraction appears to associate with the seipin core components, suggesting that it may be an ancillary subunit of the complex. {ECO:0000269|PubMed:29187527, ECO:0000269|PubMed:29187528}.
P40219	P40219	SUBUNIT: Interacts specifically with the seipin complex FLD1-LDB16. Only a fraction appears to associate with the seipin core components, suggesting that it may be an ancillary subunit of the complex (PubMed:29187527, PubMed:29187528). Found to interact with many mitochondrial and peroxisomal proteins (PubMed:21748599). {ECO:0000269|PubMed:21748599, ECO:0000269|PubMed:29187527, ECO:0000269|PubMed:29187528}.
P40302	P40302	SUBUNIT: The 26S proteasome consists of a 20S proteasome core and two 19S regulatory subunits. The 20S proteasome core is composed of 28 subunits that are arranged in four stacked rings, resulting in a barrel-shaped structure. The two end rings are each formed by seven alpha subunits, and the two central rings are each formed by seven beta subunits. The catalytic chamber with the active sites is on the inside of the barrel. {ECO:0000269|PubMed:20227375}.
P40303	P40303	SUBUNIT: The 26S proteasome consists of a 20S proteasome core and two 19S regulatory subunits. The 20S proteasome core is composed of 28 subunits that are arranged in four stacked rings, resulting in a barrel-shaped structure. The two end rings are each formed by seven alpha subunits, and the two central rings are each formed by seven beta subunits. The catalytic chamber with the active sites is on the inside of the barrel. Interacts with CIC1. {ECO:0000269|PubMed:11500370, ECO:0000269|PubMed:20227375}.
P40308	P40308	NA
P40316	P40316	SUBUNIT: Interacts with the caspase-like ESP1, and prevents its protease activity probably by covering its active site. Interacts with CDC20. {ECO:0000269|PubMed:11553328, ECO:0000269|PubMed:9635435}.
P40318	P40318	SUBUNIT: Component of the DOA10 ubiquitin ligase complex which contains E3 ligase SSM4/DOA10 and CDC48-binding protein UBX2/SEL1. The DOA10 complex interacts with the heterotrimeric CDC48-NPL4-UFD1 ATPase complex which is recruited by UBX2/SEL1 via its interaction with CDC48. Interacts with its associated ubiquitin conjugating enzymes UBC6 and UBC7 with its membrane anchor CUE1. Interacts with PEX29. {ECO:0000269|PubMed:16179952, ECO:0000269|PubMed:16179953, ECO:0000269|PubMed:16873066, ECO:0000269|PubMed:20159987}.
P40319	P40319	NA
P40327	P40327	NA
P40335	P40335	SUBUNIT: Component of the retromer complex which consists of VPS29, VPS26, VPS35, VPS5 and VPS17. Component of a retromer subcomplex consisting of VPS29, VPS26 and VPS35. {ECO:0000269|PubMed:9700157}.
P40339	P40339	SUBUNIT: Replication factor C (RFC) is a heteropentamer of subunits RFC1, RFC2, RFC3, RFC4 and RFC5 and forms a complex with POL30/PCNA in the presence of ATP. Component of the RAD24-RFC complex which consists of RAD14, RFC2, RFC3, RFC4 and RFC5 and associates with the checkpoint clamp DDC1:MEC3:RAD17 complex. Component of the ELG1-RFC complex which consists of ELG1, RFC2, RFC3, RFC4 and RFC5. Component of the CTF18-RFC complex, which consists of CTF18, CTF8, DCC1, RFC2, RFC3, RFC4 and RFC5. RFC4 interacts with ECO1. {ECO:0000269|PubMed:11389843, ECO:0000269|PubMed:11486023, ECO:0000269|PubMed:12604797, ECO:0000269|PubMed:12665596, ECO:0000269|PubMed:12912927, ECO:0000269|PubMed:15201901, ECO:0000269|PubMed:15964801, ECO:0000269|PubMed:7651383}.
